Flujo total de calor,insolación,posición sur,posición norte,hora del día
271.8,783.35,40.75,16.66,13.2
264,784.45,36.19,16.46,14.11
238.8,684.45,37.31,17.66,15.68
230.7,827.8,32.52,17.5,10.53
251.6,860.45,33.71,16.4,11
257.9,875.15,34.14,16.28,11.31
263.9,909.45,34.85,16.06,11.96
266.5,905.55,35.89,15.9,12.58
229.1,756,33.53,16.6,10.66
239.3,769.35,33.79,16.41,10.85
258,793.5,34.72,16.17,11.41
257.6,801.65,35.22,15.92,11.91
267.3,819.65,36.5,16.04,12.85
267,808.55,37.6,16.19,13.58
259.6,774.95,37.89,16.62,14.21
240.4,711.85,37.71,17.37,15.56
227.2,694.85,37,18.12,15.83
196,638.1,36.76,18.53,16.41
278.7,774.55,34.62,15.54,13.1
272.3,757.9,35.4,15.7,13.63